x,y,species cloglog values
1.0,1.0,0.018375657
2.0,2.0,0.06399721
3.0,3.0,0.048500862
4.0,4.0,0.05822373
5.0,5.0,6.9587195E-4
6.0,6.0,0.0019234432
7.0,7.0,0.066928364
8.0,8.0,0.079659805
9.0,9.0,0.012107194
10.0,10.0,0.054160528
11.0,11.0,0.055214196
12.0,12.0,0.011372999
13.0,13.0,4.051319E-4
14.0,14.0,3.7030128E-4
15.0,15.0,0.45074496
16.0,16.0,0.042816747
17.0,17.0,0.053452637
18.0,18.0,0.027161786
19.0,19.0,0.031076625
20.0,20.0,0.024928318
21.0,21.0,0.03233315
22.0,22.0,0.031185301
23.0,23.0,0.015181812
24.0,24.0,0.051004987
25.0,25.0,0.04205761
26.0,26.0,0.003839355
27.0,27.0,0.061959572
28.0,28.0,0.07819624
29.0,29.0,0.041210692
30.0,30.0,0.0878884
31.0,31.0,0.002169705
32.0,32.0,0.015801068
33.0,33.0,0.09130096
34.0,34.0,0.100654565
35.0,35.0,0.0594306
36.0,36.0,0.08290452
37.0,37.0,0.08387217
38.0,38.0,0.018246744
39.0,39.0,0.018430049
40.0,40.0,0.019376095
41.0,41.0,0.0894927
42.0,42.0,0.09976707
43.0,43.0,0.12781826
44.0,44.0,0.093781814
45.0,45.0,0.09388117
46.0,46.0,0.023836143
47.0,47.0,0.18125394
48.0,48.0,0.08432144
49.0,49.0,0.08735464
50.0,50.0,0.10732194
51.0,51.0,0.05830692
52.0,52.0,0.05459887
53.0,53.0,0.065982655
54.0,54.0,0.011299056
55.0,55.0,0.09139773
56.0,56.0,0.10888311
57.0,57.0,0.09798806
58.0,58.0,0.076098025
59.0,59.0,0.03381056
60.0,60.0,0.0019805182
61.0,61.0,0.0073869643
62.0,62.0,0.038888343
63.0,63.0,0.0014493938
64.0,64.0,0.0063061775
65.0,65.0,0.081154734
66.0,66.0,0.04099335
67.0,67.0,0.004999869
68.0,68.0,0.059154786
69.0,69.0,0.080209695
70.0,70.0,0.00136447
71.0,71.0,0.0037317155
72.0,72.0,0.0011640519
73.0,73.0,0.044956584
74.0,74.0,0.051736217
75.0,75.0,0.2278738
76.0,76.0,0.0042102174
77.0,77.0,0.007267197
78.0,78.0,0.0051623415
79.0,79.0,7.5601856E-4
80.0,80.0,0.39521307
81.0,81.0,0.42443922
82.0,82.0,0.47411743
83.0,83.0,0.46546727
84.0,84.0,0.073727295
85.0,85.0,0.01435195
86.0,86.0,0.00457529
87.0,87.0,0.0012725547
88.0,88.0,5.6685647E-4
89.0,89.0,9.035905E-4
90.0,90.0,0.1375826
91.0,91.0,0.0012695406
92.0,92.0,0.0036562125
93.0,93.0,0.02670338
94.0,94.0,0.0144910365
95.0,95.0,0.008802181
96.0,96.0,0.005278782
97.0,97.0,0.01410926
98.0,98.0,0.15399985
99.0,99.0,0.03523685
100.0,100.0,0.057605926
101.0,101.0,0.18849789
102.0,102.0,0.10351557
103.0,103.0,0.038176782
104.0,104.0,0.0767591
105.0,105.0,0.069816634
106.0,106.0,0.0050064055
107.0,107.0,0.0011668756
108.0,108.0,0.0029516453
109.0,109.0,0.07226837
110.0,110.0,0.037083294
111.0,111.0,0.007088773
112.0,112.0,0.002343554
113.0,113.0,0.010880907
114.0,114.0,0.0050264024
115.0,115.0,0.11551497
116.0,116.0,0.16514558
117.0,117.0,0.025133414
118.0,118.0,0.22403596
119.0,119.0,0.24377964
120.0,120.0,0.059710205
121.0,121.0,0.2430172
122.0,122.0,0.07480879
123.0,123.0,0.10499229
124.0,124.0,0.03517079
125.0,125.0,0.09773887
126.0,126.0,0.07762673
127.0,127.0,0.7136111
128.0,128.0,0.6492397
129.0,129.0,0.48961675
130.0,130.0,0.68185526
131.0,131.0,0.3558664
132.0,132.0,0.18384075
133.0,133.0,0.1441454
134.0,134.0,0.25861487
135.0,135.0,0.26742682
136.0,136.0,0.10785977
137.0,137.0,0.70518434
138.0,138.0,0.2934603
139.0,139.0,0.24681768
140.0,140.0,0.08001079
141.0,141.0,0.11014478
142.0,142.0,0.1879561
143.0,143.0,0.014075443
144.0,144.0,0.0036010216
145.0,145.0,0.039590135
146.0,146.0,0.0055049364
147.0,147.0,0.768609
148.0,148.0,0.7575363
149.0,149.0,0.1897392
150.0,150.0,0.12988988
151.0,151.0,0.094530106
152.0,152.0,0.14404812
153.0,153.0,0.016926855
154.0,154.0,0.11347269
155.0,155.0,0.07411959
156.0,156.0,0.74394965
157.0,157.0,0.6714367
158.0,158.0,0.45300925
159.0,159.0,0.010986778
160.0,160.0,0.006016707
161.0,161.0,0.008892525
162.0,162.0,0.6380127
163.0,163.0,0.6755532
164.0,164.0,0.10979271
165.0,165.0,0.0019448671
166.0,166.0,0.0022108231
167.0,167.0,0.24447653
168.0,168.0,0.32371822
169.0,169.0,0.27183712
170.0,170.0,0.23214714
171.0,171.0,0.014272676
172.0,172.0,0.018874915
173.0,173.0,0.04630592
174.0,174.0,0.65095925
175.0,175.0,0.6933958
176.0,176.0,0.1859083
177.0,177.0,0.17710464
178.0,178.0,0.22602044
179.0,179.0,0.18724054
180.0,180.0,0.25904498
181.0,181.0,0.058018427
182.0,182.0,0.16257115
183.0,183.0,0.061790355
184.0,184.0,0.0028348118
185.0,185.0,0.056895066
186.0,186.0,0.0058084526
187.0,187.0,0.68539494
188.0,188.0,0.24349447
189.0,189.0,0.04546947
190.0,190.0,0.035146516
191.0,191.0,0.82479316
192.0,192.0,0.0110653825
193.0,193.0,0.57653487
194.0,194.0,0.43278295
195.0,195.0,0.10327858
196.0,196.0,0.12510756
197.0,197.0,0.097622514
198.0,198.0,0.06914623
199.0,199.0,0.5399131
200.0,200.0,0.48678878
201.0,201.0,0.4350859
202.0,202.0,0.21080403
203.0,203.0,0.07056222
204.0,204.0,0.008665458
205.0,205.0,0.011249472
206.0,206.0,0.060673706
207.0,207.0,0.0010362163
208.0,208.0,0.0014922492
209.0,209.0,9.995308E-4
210.0,210.0,0.44210252
211.0,211.0,0.46061546
