Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.49703E-7,0.00001497,0.000312047,1,0,0
1.6169E-7,0.000031139,0.000337031,0.999697428,0,0
1.77655E-7,0.000066565,0.000370301,0.999092284,0,0
2.28711E-7,0.000108873,0.000476696,0.998487141,0,0
3.33904E-7,0.000277508,0.000695872,0.99667171,0,0
4.21109E-7,0.000508281,0.000877531,0.994856278,0,0
4.91059E-7,0.001012296,0.001023221,0.991527988,0,0
7.63101E-7,0.002510181,0.001589626,0.984266263,0,0
1.36874E-6,0.005080189,0.002849435,0.976701967,0,0
2.19166E-6,0.010084874,0.004558689,0.968229955,0,0
4.14627E-6,0.025018365,0.008606779,0.953706505,0,0
6.93406E-6,0.050372229,0.01435195,0.9397882,0,0
1.2106E-5,0.100545899,0.024922356,0.923146747,0.001458789,0
1.75735E-5,0.200967863,0.035973788,0.902874433,0.001458789,0
2.13584E-5,0.301159091,0.043550563,0.887443268,0.001458789,0
2.42409E-5,0.402074388,0.049280899,0.874130106,0.002188184,0
2.67091E-5,0.501521372,0.054160529,0.862329803,0.002917578,0
2.91187E-5,0.601933161,0.058899981,0.851437216,0.002917578,0
3.08602E-5,0.70070421,0.062310463,0.841452345,0.002917578,0
3.16721E-5,0.750835302,0.063896422,0.836611195,0.002917578,0
3.24714E-5,0.80213799,0.065454923,0.831770045,0.002917578,0
3.42392E-5,0.902182529,0.068892911,0.82269289,0.002917578,0
3.61488E-5,1.000549052,0.072592343,0.814220877,0.005105762,0
3.74111E-5,1.103608411,0.075029663,0.805748865,0.005105762,0
3.85861E-5,1.202647742,0.077292727,0.797881997,0.005105762,0
3.99465E-5,1.301099885,0.079905829,0.7903177,0.005105762,0
4.09674E-5,1.402339944,0.081862154,0.782753404,0.005105762,0
4.24911E-5,1.502495481,0.084774043,0.775491679,0.005105762,0
4.65299E-5,1.751008939,0.092447878,0.758547655,0.005835157,0
5.05249E-5,2.002844238,0.099975033,0.742813918,0.008023341,0
5.43501E-5,2.255028129,0.107123892,0.728290469,0.008752735,0
5.75222E-5,2.50181753,0.113009198,0.714977307,0.00948213,0
6.08881E-5,2.750318355,0.119211556,0.702269289,0.016776076,0
6.52446E-5,3.002606877,0.12717483,0.690166415,0.01750547,0
6.87949E-5,3.250156008,0.133611278,0.678971256,0.01750547,0
7.36143E-5,3.506635713,0.142272621,0.668078669,0.01750547,0
7.6141E-5,3.753688359,0.146778877,0.658093797,0.0269876,0
8.02178E-5,4.003689961,0.153999853,0.648411498,0.028446389,0
8.43801E-5,4.251502785,0.161309267,0.639334342,0.029905179,0
8.94631E-5,4.503657635,0.170149765,0.630559758,0.031363968,0
