X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,7.364098855786906E-4,75.51031462860685,0.7845973244941274
2.0,2.0,train,7.364098855786906E-4,75.51031462860685,0.7845973244941274
3.0,3.0,train,6.097926173762341E-4,50.31508679584417,0.7195270696899861
4.0,4.0,train,5.379740522430203E-4,36.48927816697186,0.6742264563208119
5.0,5.0,train,7.545488282401926E-4,86.3536057422439,0.7925908025652633
6.0,6.0,train,7.364098855786906E-4,75.51031462860685,0.7845973244941274
7.0,7.0,train,4.695052861597036E-4,27.456973692696398,0.6242424213755728
8.0,8.0,train,6.892796605890742E-4,64.96456416218872,0.7623580997748847
9.0,9.0,train,4.545550794776032E-4,26.29349232120491,0.6123464774644893
10.0,10.0,train,4.608347630698615E-4,26.772141015237697,0.6173884463571357
11.0,11.0,train,5.694904184081999E-4,39.47860400824243,0.6949431729753386
12.0,12.0,train,3.201065590634888E-4,18.01930284081791,0.4869330437189767
13.0,13.0,train,6.097926173762341E-4,50.31508679584417,0.7195270696899861
14.0,14.0,train,7.364098855786906E-4,75.51031462860685,0.7845973244941274
15.0,15.0,train,2.8923362926596254E-4,16.474376121156357,0.452824632662822
16.0,16.0,train,6.760299103640346E-4,60.55091447396541,0.7557022869779423
17.0,17.0,train,6.480790477582059E-4,57.28705079876546,0.7410438430469337
18.0,18.0,train,7.364098855786906E-4,75.51031462860685,0.7845973244941274
19.0,19.0,train,5.508184188018685E-4,37.59159737106015,0.6828341181221584
20.0,20.0,train,5.508184188018685E-4,37.59159737106015,0.6828341181221584
21.0,21.0,train,7.364098855786906E-4,75.51031462860685,0.7845973244941274
22.0,22.0,train,5.671115170093129E-4,38.85268990166934,0.6934264964647305
23.0,23.0,train,8.140052536571592E-4,89.7318432887268,0.8167702921152923
24.0,24.0,train,4.3953034633496596E-4,25.436640274902416,0.6000117835094703
25.0,25.0,train,7.364098855786906E-4,75.51031462860685,0.7845973244941274
26.0,26.0,train,7.364098855786906E-4,75.51031462860685,0.7845973244941274
27.0,27.0,train,5.174001461817701E-4,33.56627288346332,0.6599494188103033
28.0,28.0,train,9.967472613148774E-5,5.120538747513095,0.18762968893466803
29.0,29.0,train,6.377826452461446E-4,56.06555005394103,0.7354250933283633
30.0,30.0,train,8.140163771483661E-4,95.26530776229622,0.8167745411508014
31.0,31.0,train,7.364098855786906E-4,75.51031462860685,0.7845973244941274
32.0,32.0,train,7.364098855786906E-4,75.51031462860685,0.7845973244941274
33.0,33.0,train,7.401026267599082E-4,84.0519658142182,0.7862492395600578
34.0,34.0,train,5.221262533826361E-4,34.8694157139507,0.6632834351040362
35.0,35.0,train,5.508184188018685E-4,37.59159737106015,0.6828341181221584
36.0,36.0,train,6.097926173762341E-4,50.31508679584417,0.7195270696899861
37.0,37.0,train,7.364098855786906E-4,75.51031462860685,0.7845973244941274
38.0,38.0,train,1.1456908090041894E-4,5.966120944483793,0.21246724537684103
39.0,39.0,train,7.364098855786906E-4,75.51031462860685,0.7845973244941274
40.0,40.0,train,7.600388624765364E-4,88.09110770474845,0.7949511638040151
41.0,41.0,train,4.3953034633496596E-4,25.436640274902416,0.6000117835094703
42.0,42.0,train,7.364098855786906E-4,75.51031462860685,0.7845973244941274
43.0,43.0,train,6.760299103640346E-4,60.55091447396541,0.7557022869779423
44.0,44.0,train,1.0790589123993238E-4,5.608574728595494,0.20145111352992606
45.0,45.0,train,6.760299103640346E-4,60.55091447396541,0.7557022869779423
46.0,46.0,train,4.786409046275411E-4,29.384981276714498,0.6313312575834923
47.0,47.0,train,4.3953034633496596E-4,25.436640274902416,0.6000117835094703
48.0,48.0,train,6.760299103640346E-4,60.55091447396541,0.7557022869779423
49.0,49.0,train,6.097926173762341E-4,50.31508679584417,0.7195270696899861
50.0,50.0,train,2.500336577588972E-4,13.52584790538437,0.4062298333640668
51.0,51.0,train,5.186977096451467E-4,33.78132480948379,0.6608680543500194
52.0,52.0,train,0.0011542430453744923,99.64004433731156,0.9098547134756683
53.0,53.0,train,6.882575634664685E-4,64.55547102885183,0.7618511833526296
54.0,54.0,train,2.430476752606855E-4,13.106806770681583,0.3975187801614457
55.0,55.0,train,7.364098855786906E-4,75.51031462860685,0.7845973244941274
56.0,56.0,train,2.5649260385340324E-4,13.805430921796425,0.41417161104520706
57.0,57.0,train,6.29941509291249E-4,54.04575344564588,0.7310645504382007
58.0,58.0,train,4.255985989681209E-4,24.632278818409617,0.5882239666965923
59.0,59.0,train,4.7294913709093806E-4,27.826408856163788,0.6269305644358257
60.0,60.0,train,3.933094189550094E-4,23.262671723330637,0.5595507871494192
61.0,61.0,train,4.255985989681209E-4,24.632278818409617,0.5882239666965923
62.0,62.0,train,6.097926173762341E-4,50.31508679584417,0.7195270696899861
63.0,63.0,train,7.364098855786906E-4,75.51031462860685,0.7845973244941274
64.0,64.0,train,6.760299103640346E-4,60.55091447396541,0.7557022869779423
65.0,65.0,train,6.23341200645844E-4,53.85750806255872,0.7273383853787645
66.0,66.0,train,7.364098855786906E-4,75.51031462860685,0.7845973244941274
67.0,67.0,train,6.680775474762178E-4,59.21258029138156,0.7516183502119226
68.0,68.0,train,7.296197454659609E-4,70.28295305286746,0.7815264238991362
69.0,69.0,train,7.364098855786906E-4,75.51031462860685,0.7845973244941274
70.0,70.0,train,6.941034094583633E-4,65.4477165952177,0.7647359484068535
71.0,71.0,train,7.364098855786906E-4,75.51031462860685,0.7845973244941274
72.0,72.0,train,6.760299103640346E-4,60.55091447396541,0.7557022869779423
73.0,73.0,train,5.508184188018685E-4,37.59159737106015,0.6828341181221584
74.0,74.0,train,6.097926173762341E-4,50.31508679584417,0.7195270696899861
75.0,75.0,train,7.169055828845927E-4,68.26574666679686,0.7756581076092608
76.0,76.0,train,8.140163771483661E-4,95.26530776229622,0.8167745411508014
77.0,77.0,train,7.364098855786906E-4,75.51031462860685,0.7845973244941274
78.0,78.0,train,4.753847319218047E-4,28.054988643868374,0.6288200821682128
79.0,79.0,train,2.7941264421454975E-4,15.909206209117027,0.4415060108925053
80.0,80.0,train,7.364098855786906E-4,75.51031462860685,0.7845973244941274
81.0,81.0,train,8.140163771483661E-4,95.26530776229622,0.8167745411508014
82.0,82.0,train,7.169055828845927E-4,68.26574666679686,0.7756581076092608
83.0,83.0,train,7.364098855786906E-4,75.51031462860685,0.7845973244941274
84.0,84.0,train,4.885859478951E-4,30.08334536144003,0.6388962242733665
85.0,85.0,train,7.364098855786906E-4,75.51031462860685,0.7845973244941274
86.0,86.0,train,8.140163771483661E-4,95.26530776229622,0.8167745411508014
87.0,87.0,train,7.364098855786906E-4,75.51031462860685,0.7845973244941274
88.0,88.0,train,8.140163771483661E-4,95.26530776229622,0.8167745411508014
89.0,89.0,train,5.01509187854457E-4,31.022743284637954,0.6484951931466985
90.0,90.0,train,6.561623674511755E-4,57.56306616156462,0.7453711747763649
91.0,91.0,train,8.140163771483661E-4,95.26530776229622,0.8167745411508014
92.0,92.0,train,4.592790702624952E-4,26.522112381570665,0.6161455217931344
93.0,93.0,train,6.23341200645844E-4,53.85750806255872,0.7273383853787645
94.0,94.0,train,7.364098855786906E-4,75.51031462860685,0.7845973244941274
95.0,95.0,train,5.153628873963698E-4,33.15319912680083,0.6585020783265423
96.0,96.0,train,6.156135485582752E-4,50.50007766359583,0.722910126756981
