x,y,species cloglog values
1.0,1.0,0.005012733
2.0,2.0,0.015886389
3.0,3.0,3.895656E-4
4.0,4.0,0.0012138644
5.0,5.0,0.005977278
6.0,6.0,0.018941095
7.0,7.0,0.021930514
8.0,8.0,0.0024350993
9.0,9.0,1.7607963E-4
10.0,10.0,1.69352E-4
11.0,11.0,0.15760414
12.0,12.0,0.03755272
13.0,13.0,0.050906487
14.0,14.0,0.010228085
15.0,15.0,0.0099505205
16.0,16.0,0.0072677583
17.0,17.0,0.010661803
18.0,18.0,0.0102157295
19.0,19.0,0.004551298
20.0,20.0,0.019034311
21.0,21.0,0.012329855
22.0,22.0,0.0014325476
23.0,23.0,0.022639355
24.0,24.0,0.032929044
25.0,25.0,0.015307755
26.0,26.0,0.043341693
27.0,27.0,6.406082E-4
28.0,28.0,0.0033121638
29.0,29.0,0.040718663
30.0,30.0,0.041358095
31.0,31.0,0.020524016
32.0,32.0,0.036022615
33.0,33.0,0.036098223
34.0,34.0,0.0060327696
35.0,35.0,0.0048710946
36.0,36.0,0.0038170484
37.0,37.0,0.034635436
38.0,38.0,0.046724167
39.0,39.0,0.056719627
40.0,40.0,0.036950216
41.0,41.0,0.03339408
42.0,42.0,0.0050783153
43.0,43.0,0.10005927
44.0,44.0,0.057571553
45.0,45.0,0.04300653
46.0,46.0,0.054791283
47.0,47.0,0.018600566
48.0,48.0,0.016552033
49.0,49.0,0.022505473
50.0,50.0,0.0035637484
51.0,51.0,0.042200517
52.0,52.0,0.054342587
53.0,53.0,0.041917928
54.0,54.0,0.025152197
55.0,55.0,0.0077578737
56.0,56.0,0.001089982
57.0,57.0,0.0030827122
58.0,58.0,0.012997874
59.0,59.0,9.178786E-4
60.0,60.0,0.0013642308
61.0,61.0,0.043494016
62.0,62.0,0.015059286
63.0,63.0,0.0018193754
64.0,64.0,0.019835664
65.0,65.0,0.03594782
66.0,66.0,0.0011134809
67.0,67.0,0.0030031104
68.0,68.0,7.161109E-4
69.0,69.0,0.019360488
70.0,70.0,0.027313184
71.0,71.0,0.16292779
72.0,72.0,0.0023478228
73.0,73.0,0.0041583185
74.0,74.0,0.0024282676
75.0,75.0,5.995394E-4
76.0,76.0,0.15021552
77.0,77.0,0.17447716
78.0,78.0,0.16515736
79.0,79.0,0.17044313
80.0,80.0,0.03864407
81.0,81.0,0.0056408816
82.0,82.0,0.002132869
83.0,83.0,6.721877E-4
84.0,84.0,3.9037908E-4
85.0,85.0,7.9769193E-4
86.0,86.0,0.050389793
87.0,87.0,5.982361E-4
88.0,88.0,0.0017233085
89.0,89.0,0.01177152
90.0,90.0,0.010054483
91.0,91.0,0.0054342574
92.0,92.0,0.004565021
93.0,93.0,0.009347206
94.0,94.0,0.09168644
95.0,95.0,0.012382147
96.0,96.0,0.04702285
97.0,97.0,0.28314403
98.0,98.0,0.10485941
99.0,99.0,0.022931302
100.0,100.0,0.05671096
101.0,101.0,0.05126492
102.0,102.0,0.0057980497
103.0,103.0,0.001807067
104.0,104.0,0.0024097112
105.0,105.0,0.070232056
106.0,106.0,0.43974805
107.0,107.0,0.37083688
108.0,108.0,0.22399645
109.0,109.0,0.16039418
110.0,110.0,0.034893416
111.0,111.0,0.006798845
112.0,112.0,0.0024083678
113.0,113.0,0.006656096
114.0,114.0,0.0044055954
115.0,115.0,0.10169474
116.0,116.0,0.6936476
117.0,117.0,0.029357795
118.0,118.0,0.17899539
119.0,119.0,0.21982531
120.0,120.0,0.034332898
121.0,121.0,0.2319856
122.0,122.0,0.59250677
123.0,123.0,0.48631233
124.0,124.0,0.63454413
125.0,125.0,0.2523807
126.0,126.0,0.587019
127.0,127.0,0.14184776
128.0,128.0,0.16238718
129.0,129.0,0.03770175
130.0,130.0,0.006586069
131.0,131.0,0.7217155
132.0,132.0,0.7894839
133.0,133.0,0.34585494
134.0,134.0,0.111045115
135.0,135.0,0.40045542
136.0,136.0,0.014528967
137.0,137.0,0.027508311
138.0,138.0,0.17707591
139.0,139.0,0.08412671
140.0,140.0,0.6798987
141.0,141.0,0.7999245
142.0,142.0,0.392634
143.0,143.0,0.1462425
144.0,144.0,0.011134229
145.0,145.0,0.010876126
146.0,146.0,0.44533774
147.0,147.0,0.49905205
148.0,148.0,0.18933396
149.0,149.0,0.58207357
150.0,150.0,0.002174951
151.0,151.0,0.0024913829
152.0,152.0,0.42521968
153.0,153.0,0.010842553
154.0,154.0,0.013434161
155.0,155.0,0.036128156
156.0,156.0,0.8567731
157.0,157.0,0.54344225
158.0,158.0,0.30311295
159.0,159.0,0.28009778
160.0,160.0,0.36247054
161.0,161.0,0.33912927
162.0,162.0,0.24725848
163.0,163.0,0.38517886
164.0,164.0,0.038661692
165.0,165.0,0.026189944
166.0,166.0,0.0018927598
167.0,167.0,0.0061755455
168.0,168.0,0.54985917
169.0,169.0,0.23463908
170.0,170.0,0.021004736
171.0,171.0,0.01758907
172.0,172.0,0.7221732
173.0,173.0,0.004954192
174.0,174.0,0.2924711
175.0,175.0,0.1446793
176.0,176.0,0.029246047
177.0,177.0,0.058720145
178.0,178.0,0.052320655
179.0,179.0,0.03103806
180.0,180.0,0.19682598
181.0,181.0,0.15110692
182.0,182.0,0.13702303
183.0,183.0,0.09765105
184.0,184.0,0.025205346
185.0,185.0,0.0035426684
186.0,186.0,0.002436135
187.0,187.0,0.019421881
188.0,188.0,3.4737412E-4
189.0,189.0,2.7949328E-4
190.0,190.0,1.6850556E-4
191.0,191.0,0.09988883
192.0,192.0,0.13037363
193.0,193.0,0.058754932
194.0,194.0,0.02929899
195.0,195.0,0.021884762
196.0,196.0,0.0051208655
197.0,197.0,0.0019703766
198.0,198.0,8.521246E-5
199.0,199.0,1.2291498E-4
200.0,200.0,8.923759E-5
201.0,201.0,8.4044616E-5
202.0,202.0,0.0035092551
203.0,203.0,0.004045516
204.0,204.0,0.038633373
205.0,205.0,0.10098852
206.0,206.0,0.04973739
207.0,207.0,5.5024016E-4
208.0,208.0,0.0012708851
209.0,209.0,6.527922E-5
210.0,210.0,0.0023627835
211.0,211.0,0.010051062
212.0,212.0,6.0384325E-4
213.0,213.0,3.213396E-4
214.0,214.0,0.0018048168
215.0,215.0,0.0053022928
216.0,216.0,1.0037858E-4
217.0,217.0,1.05133266E-4
218.0,218.0,8.802478E-4
219.0,219.0,9.3674456E-4
220.0,220.0,9.3365303E-4
221.0,221.0,0.053632125
222.0,222.0,0.001538788
223.0,223.0,0.011868353
224.0,224.0,0.15305007
225.0,225.0,0.13442329
226.0,226.0,0.040749285
227.0,227.0,0.021228751
228.0,228.0,0.012865925
229.0,229.0,0.18630621
230.0,230.0,0.19233862
231.0,231.0,0.046820667
232.0,232.0,0.2588774
233.0,233.0,0.20845672
234.0,234.0,0.21277384
235.0,235.0,0.21262729
236.0,236.0,0.18179806
237.0,237.0,0.06794054
238.0,238.0,0.012994157
239.0,239.0,0.0012552425
240.0,240.0,0.1524795
241.0,241.0,0.29584956
242.0,242.0,0.18726818
243.0,243.0,0.031873737
244.0,244.0,0.022874864
245.0,245.0,0.007614178
246.0,246.0,0.0036144394
247.0,247.0,0.25812662
248.0,248.0,0.07942138
249.0,249.0,3.5299236E-4
250.0,250.0,0.0068652933
251.0,251.0,0.20977722
252.0,252.0,0.10524004
253.0,253.0,9.264629E-4
254.0,254.0,0.106058106
255.0,255.0,0.23581582
256.0,256.0,5.0800777E-4
257.0,257.0,0.5356156
258.0,258.0,0.0015648091
