Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.02639E-9,0.000000203,0.000001613,1,0,0
2.81186E-9,0.000000484,0.000002238,0.999615237,0,0
3.5315E-9,0.000001123,0.000002811,0.99884571,0,0
6.63432E-9,0.00000308,0.000005281,0.997306656,0,0
1.40112E-8,0.000010224,0.000011154,0.994613313,0,0
2.40663E-8,0.000026075,0.000019158,0.991150442,0,0
4.14118E-8,0.000051792,0.000032966,0.988457099,0,0
5.27911E-8,0.000103295,0.000042024,0.984224702,0,0
9.77415E-8,0.000259527,0.000077806,0.976914198,0,0
1.33517E-7,0.000505747,0.000106282,0.968449404,0,0
2.56852E-7,0.001019747,0.00020445,0.958445556,0,0
4.98361E-7,0.00254926,0.000396649,0.943055021,0,0
7.53354E-7,0.005074152,0.000599539,0.927664486,0,0
1.20361E-6,0.010060056,0.000957691,0.908041554,0,0
2.44945E-6,0.025168694,0.001948027,0.875721431,0,0
3.96088E-6,0.050083614,0.003148155,0.846094652,0,0
6.13391E-6,0.100458971,0.004871094,0.808387841,0,0
9.04609E-6,0.20024237,0.007175419,0.758368603,0,0
1.1502E-5,0.300009316,0.00911459,0.720661793,0.002777778,0
1.40586E-5,0.401150676,0.011129146,0.690265487,0.002777778,0
1.64322E-5,0.501263064,0.012995932,0.664871104,0.002777778,0
1.89015E-5,0.601814864,0.014934208,0.642939592,0.002777778,0
2.13762E-5,0.700372738,0.016872865,0.624086187,0.002777778,0
2.2792E-5,0.751411492,0.017980347,0.615236629,0.002777778,0
2.38368E-5,0.800621839,0.018796721,0.607156599,0.002777778,0
2.59267E-5,0.900449394,0.020427801,0.591766064,0.002777778,0
2.8128E-5,1.000660942,0.022142923,0.577529819,0.002777778,0
3.02854E-5,1.102670786,0.023820846,0.564063101,0.005555556,0
3.3253E-5,1.201345641,0.026124253,0.552135437,0.005555556,0
3.57079E-5,1.300883339,0.028025592,0.540977299,0.005555556,0
3.81092E-5,1.40083007,0.029881849,0.530588688,0.005555556,0
4.07615E-5,1.50328602,0.031928016,0.52058484,0.008333333,0
4.72137E-5,1.752149173,0.036887661,0.498653328,0.008333333,0
5.3777E-5,2.000079491,0.041906611,0.479799923,0.008333333,0
6.28871E-5,2.250376703,0.048829816,0.463255098,0.008333333,0
7.0785E-5,2.505328122,0.054791284,0.44863409,0.008333333,0
7.62584E-5,2.755793332,0.058900756,0.435552135,0.008333333,0
8.60287E-5,3.001028212,0.066192098,0.424009234,0.008333333,0
9.6664E-5,3.250137163,0.074064661,0.413620623,0.008333333,0
1.0528E-4,3.504069752,0.080393921,0.404001539,0.008333333,0
1.11356E-4,3.754353874,0.084831464,0.395151982,0.008333333,0
1.20636E-4,4.009734883,0.091566822,0.386687187,0.008333333,0
1.32196E-4,4.262111759,0.099888832,0.37899192,0.013888889,0
1.39888E-4,4.508028705,0.105383713,0.372066179,0.022222222,0
1.47416E-4,4.752295298,0.110728689,0.365525202,0.022222222,0
1.54925E-4,5.009394535,0.116028297,0.358984225,0.025,0
1.63645E-4,5.264546489,0.122143779,0.352828011,0.038888889,0
1.70112E-4,5.51654737,0.126651569,0.34705656,0.038888889,0
1.77287E-4,5.75954548,0.131625236,0.341669873,0.041666667,0
1.82968E-4,6.012066983,0.135543393,0.336283186,0.047222222,0
1.91501E-4,6.256191359,0.141396134,0.331281262,0.05,0
1.96314E-4,6.509218664,0.14467929,0.326279338,0.052777778,0
1.99636E-4,6.766807414,0.146938362,0.321277414,0.052777778,0
2.05612E-4,7.009269896,0.150986997,0.316660254,0.066666667,0
2.10978E-4,7.258805095,0.1546062,0.312043093,0.066666667,0
2.21075E-4,7.517936907,0.161373813,0.307425933,0.066666667,0
2.2531E-4,7.763495135,0.164196316,0.303193536,0.066666667,0
2.32637E-4,8.015110572,0.16905739,0.298961139,0.066666667,0
2.38283E-4,8.250555038,0.172783368,0.295113505,0.066666667,0
2.43688E-4,8.515483265,0.176335037,0.290881108,0.066666667,0
